StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,acceptability,acceptability_notOk,acceptability_ok,diff,switched_context,expl_rate_1,expl_rate_2,expl_rate_3,intervention,intervention_coded_1,intervention_coded_2,intervention_coded_same,intervention_coded,intervention_diff,check_group,check_job,check_task,age,age_2_TEXT,gender,gender_4_TEXT,race,race_15_TEXT,education,ses,debrief_1,debrief_3,condition
4/26/2021 16:53,4/26/2021 17:06,IP Address,67.172.52.203,100,745,TRUE,4/26/2021 17:06,R_VOLIpVc6UQdNuG5,,,,,41.4355011,-79.69039917,anonymous,EN,I do consent to participate,Okay,,A little good,Somewhat different,Likely aquafruit farmer,Very satisfying,Not at all satisfying,Not at all satisfying,"Create a training program so Zarpies can see how distribution managers work, and how it would be an easier job than aquafruit farming.",provide job training to group,provide job training to group,TRUE,provide job training to group,Very easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,33,Male,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Poor,"On the one page this sentence was given: ""Aquafruit are fruit grow underwater off the coast of islands in this area."" It would make more sense if it said ""fruit that grow underwater""",How people think about different groups and the jobs they do.,cultural_pos
4/26/2021 17:00,4/26/2021 17:08,IP Address,47.39.40.57,100,458,TRUE,4/26/2021 17:08,R_2wdm76X1YO8yMTq,,,,,43.227005,-123.5158005,anonymous,EN,I do consent to participate,Okay,,Pretty good,Very similar,Likely different job,Very satisfying,Extremely satisfying,Somewhat satisfying,Very satisfied for color most of the people select this one,other,other,TRUE,other,Somewhat easy,"Vawns,Glerks","Distribution manager,Strawberry farmer",Learning about Zarpies and answering questions about them,Please enter your age in years:,45,Male,,Black or African American,,"Master's (M.A., M.S.)",Middle class,None,The hole survey is I like vey much,biological_pos
4/26/2021 17:06,4/26/2021 17:10,IP Address,73.125.20.223,100,278,TRUE,4/26/2021 17:10,R_31SeGf9WXp4fmGO,,,,,26.3480072,-80.14980316,anonymous,EN,I do consent to participate,Not okay,Pretty bad,,Somewhat similar,For sure different job,Very satisfying,Somewhat satisfying,Very satisfying,I would provide more opportunities for Zarpies to work as distribution managers by creating more openings for the position and give them the training they need.,create more jobs or access to jobs,create more jobs or access to jobs,TRUE,create more jobs or access to jobs,Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,30,Male,,East Asian,,"Bachelor's (B.A., B.S.)",Middle class,No issues.,This study is about how fictional scenarios can be applied to real life people who has to work in dangerous environments for little pay.,biological_neg
4/26/2021 17:07,4/26/2021 17:11,IP Address,47.6.220.138,100,226,TRUE,4/26/2021 17:11,R_1gbXh8nO17oatuo,,,,,46.5921936,-120.5299988,anonymous,EN,I do consent to participate,Not okay,"Very, very bad",,Very similar,For sure different job,Somewhat satisfying,Not at all satisfying,Not at all satisfying,I would get rid of the complex paperwork which is an obstacle.,create more jobs or access to jobs,create more jobs or access to jobs,TRUE,create more jobs or access to jobs,Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,53,Female,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Working class,,,structural
4/26/2021 17:03,4/26/2021 17:13,IP Address,69.137.191.111,100,594,TRUE,4/26/2021 17:13,R_2cni0AhJtoa7jsJ,,,,,32.40629578,-111.0633011,anonymous,EN,I do consent to participate,Okay,,A little good,Somewhat different,Likely aquafruit farmer,Extremely satisfying,Slightly satisfying,Not at all satisfying,I would increase compensation for distribution managers to try and incentivize more Zarpies to go that route.,"change job wages, value, hours, work","change job wages, value, hours, work",TRUE,"change job wages, value, hours, work",Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,23,Female,,"White, Caucasian, or European American,Hispanic or Latino/a",,High school/GED,Poor,,,biological_pos
4/26/2021 17:03,4/26/2021 17:15,IP Address,172.0.73.38,100,692,TRUE,4/26/2021 17:15,R_bvZV8IPLY86fgbv,,,,,37.97599792,-122.3358994,anonymous,EN,I do consent to participate,Not okay,"Very, very bad",,Very similar,Likely different job,Slightly satisfying,Slightly satisfying,Not at all satisfying,I would create a special part time distribution manager position for the Zarpies. This would still them pay them the same full-time salary as the Vawns but would require them to work much fewer hours. This way they would still have some time to enjoy the ocean and help farm aquafruit if they still desired to do so. I would make this possible by requiring the Vawns to take less pay and to have them work longer full-time shifts. This would balance out the economics on the island slightly so that some Zarpies could enjoy the benefits of fair pay for work and still have their traditions.,"change job wages, value, hours, work",create more jobs or access to jobs,FALSE,create more jobs or access to jobs,Somewhat difficult,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,33,Male,,Black or African American,,Some college,Middle class,I didn't have any problems with this task.,I think this study was about one's perception of race and tradition and how that affect's one perception of socioeconomics.,cultural_pos
4/26/2021 17:18,4/26/2021 17:18,IP Address,12.204.36.3,100,2,TRUE,4/26/2021 17:18,R_xDiypbmMnnSCInv,,,,,32.89830017,-96.12609863,anonymous,EN,I do NOT consent to participate,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
4/26/2021 17:15,4/26/2021 17:19,IP Address,96.3.154.154,100,201,TRUE,4/26/2021 17:19,R_3jZQoaf2ffnl4UF,,,,,44.90480042,-97.1242981,anonymous,EN,I do consent to participate,Not okay,"Very, very bad",,Somewhat similar,Likely different job,Not at all satisfying,Not at all satisfying,Very satisfying,Changes the laws so it is easier for Zarpies to work as managers.,create more jobs or access to jobs,create more jobs or access to jobs,TRUE,create more jobs or access to jobs,Somewhat difficult,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,30,Male,,"White, Caucasian, or European American",,Some college,Working class,the task was easy and worked fine.,discrimination. A3EG4C9T4F5DUR,structural
4/26/2021 17:16,4/26/2021 17:20,IP Address,174.126.143.151,100,235,TRUE,4/26/2021 17:20,R_2yjwI4xUF1uTx4F,,,,,33.479599,-88.35279846,anonymous,EN,I do consent to participate,Okay,,Pretty good,Somewhat different,For sure different job,Extremely satisfying,Extremely satisfying,Slightly satisfying,I would set up a way for them to get accepted in these positions easier.,create more jobs or access to jobs,create more jobs or access to jobs,TRUE,create more jobs or access to jobs,Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,45,Female,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Middle class,No,unsure,biological_pos
4/26/2021 17:13,4/26/2021 17:21,IP Address,98.26.8.159,100,466,TRUE,4/26/2021 17:21,R_8ArNqwad4gmvyJr,,,,,35.76330566,-78.70999908,anonymous,EN,I do consent to participate,Not okay,"Very, very bad",,Very similar,For sure different job,Somewhat satisfying,Not at all satisfying,Not at all satisfying,Groom Zarpie children to become distribution managers. The older Zarpies may unfortunately be socially conditioned to be subordinates. We recruit talent from the older Zarpies but focus on grooming the next generation. ,change group beliefs/culture,change group beliefs/culture,TRUE,change group beliefs/culture,Very easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,39,Male,,Black or African American,,Some college,Poor,,This feels like a study about social inequality.,cultural_neg
4/26/2021 17:09,4/26/2021 17:23,IP Address,107.202.185.169,100,855,TRUE,4/26/2021 17:23,R_33sDK4uUrcRV38V,,,,,41.88789368,-88.19950104,anonymous,EN,I do consent to participate,Not okay,Pretty bad,,Very different,For sure different job,Slightly satisfying,Not at all satisfying,Somewhat satisfying,"I would offer economic incentives. More specifically, I would give three months salary as a Zarpie farmer if they switch to become a manager.","change job wages, value, hours, work","change job wages, value, hours, work",TRUE,"change job wages, value, hours, work",Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,31,Male,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Middle class,"No, I did not find anything to be confusing. Rather, I would leave this study as-is.","If I have to guess, it gauges how participants view low wage workers.",cultural_neg
4/26/2021 17:21,4/26/2021 17:24,IP Address,12.204.36.3,100,236,TRUE,4/26/2021 17:24,R_2Bh3YS9HqOEproM,,,,,32.89830017,-96.12609863,anonymous,EN,I do consent to participate,Not okay,Pretty bad,,Very different,Likely different job,Slightly satisfying,Slightly satisfying,Very satisfying,Fund better education opportunities for Zarpies so they can acquire the necessary skills to compete for positions like distribution managers.,provide job training to group,provide job training to group,TRUE,provide job training to group,Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,28,Male,,"White, Caucasian, or European American",,High school/GED,Working class,No,Probably studying race or immigration.,cultural_pos
4/26/2021 16:47,4/26/2021 17:36,IP Address,191.101.133.102,100,2984,TRUE,4/26/2021 17:37,R_3qaMWMJpeAK3nWb,,,,,40.71260071,-74.00659943,anonymous,EN,I do consent to participate,Okay,,Pretty good,Somewhat similar,Likely different job,Very satisfying,Somewhat satisfying,Very satisfying,"Train them to work, live and have managerial ethics. ",provide job training to group,provide job training to group,TRUE,provide job training to group,Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,30,Male,,Hispanic or Latino/a,,"Bachelor's (B.A., B.S.)",Middle class,none,Consumer perceptions on different groups in the society. ,biological_neg
4/26/2021 17:57,4/26/2021 17:59,IP Address,173.23.127.126,100,155,TRUE,4/26/2021 17:59,R_11WNe0PNlPaqfTT,,,,,37.11369324,-93.28959656,anonymous,EN,I do consent to participate,Not okay,Pretty bad,,Very different,Likely different job,Not at all satisfying,Slightly satisfying,Somewhat satisfying,I would try to make it more equal in hiring for managers.  Based it on qualifications as opposed what the person is.,create more jobs or access to jobs,create more jobs or access to jobs,TRUE,create more jobs or access to jobs,Very difficult,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,33,Male,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Middle class,no,feelings on job equality,cultural_neg
4/26/2021 17:54,4/26/2021 18:03,IP Address,131.106.53.170,100,563,TRUE,4/26/2021 18:03,R_Ap2FKYKNNOfMlK9,,,,,40.60270691,-75.47779846,anonymous,EN,I do consent to participate,Not okay,A little bad,,Somewhat different,Likely aquafruit farmer,Not at all satisfying,Slightly satisfying,Slightly satisfying,Make the paperwork required for other jobs to be less expensive and less complex,create more jobs or access to jobs,create more jobs or access to jobs,TRUE,create more jobs or access to jobs,Somewhat difficult,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,39,Male,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Middle class,,,structural
4/26/2021 18:01,4/26/2021 18:05,IP Address,192.181.181.202,100,223,TRUE,4/26/2021 18:05,R_6zG5NnSztDQKoi5,,,,,39.31790161,-84.24829865,anonymous,EN,I do consent to participate,Okay,,Pretty good,Somewhat different,Likely different job,Very satisfying,Not at all satisfying,Slightly satisfying,Start having young Zarpies job shadow Vawns at work.,provide job training to group,provide job training to group,TRUE,provide job training to group,Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,31,Male,,"White, Caucasian, or European American",,"Doctoral (Ph.D., J.D., M.D.)",Middle class,I had no issues.,I think its about attributing certain jobs to certain racial groups.,biological_neg
4/26/2021 18:08,4/26/2021 18:12,IP Address,70.37.197.92,100,240,TRUE,4/26/2021 18:12,R_3PFYRFF7QYHey4J,,,,,42.50369263,-97.20559692,anonymous,EN,I do consent to participate,Not okay,Pretty bad,,Somewhat different,Likely different job,Slightly satisfying,Not at all satisfying,Not at all satisfying,I would change the paperwork requirements for Zarpies to work as distribution managers.,create more jobs or access to jobs,create more jobs or access to jobs,TRUE,create more jobs or access to jobs,Very easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,38,Female,,"White, Caucasian, or European American",,Some college,Middle class,I had no issues at all and liked the way it was set up.,Whether or not we should just accept the way things are.,structural
4/26/2021 18:04,4/26/2021 18:22,IP Address,205.244.36.236,100,1089,TRUE,4/26/2021 18:22,R_1IHjzVbrq4CnoZP,,,,,41.83680725,-75.53070068,anonymous,EN,I do consent to participate,Okay,,A little good,Somewhat different,Likely aquafruit farmer,Slightly satisfying,Somewhat satisfying,Very satisfying,I would establish education and training for Zarpies to facilitate their working as distribution managers and to further normalize their entrance into that field. Perhaps this education could be free or subsidized for well qualified candidates and would be accompanied by a push in public awareness that this path is and should be available for all groups.,provide job training to group,provide job training to group,TRUE,provide job training to group,Somewhat difficult,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,43,Male,,"White, Caucasian, or European American",,Some college,Working class,Everything seemed clear. ,Perhaps the study relates to perceptions of people in different economic classes and their chances for upward mobility. ,biological
4/26/2021 18:23,4/26/2021 18:23,IP Address,173.73.32.51,100,2,TRUE,4/26/2021 18:23,R_1Cd2O7VtgaW1dup,,,,,38.74809265,-77.23829651,anonymous,EN,I do NOT consent to participate,,,,,,,,,,,,TRUE,0,,,,,,,,,,,,,,,
4/26/2021 18:23,4/26/2021 18:26,IP Address,97.98.127.91,100,167,TRUE,4/26/2021 18:26,R_4Gb3otX1GmFuGsx,,,,,27.63490295,-97.31030273,anonymous,EN,I do consent to participate,Okay,,A little good,Somewhat different,Likely aquafruit farmer,Not at all satisfying,Extremely satisfying,Somewhat satisfying,Make a concerted effort to hire more Zarpies over other applicants,create more jobs or access to jobs,create more jobs or access to jobs,TRUE,create more jobs or access to jobs,Somewhat difficult,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,37,Female,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Working class,,Whether discrimination is alright in some circumstances,biological
4/26/2021 18:25,4/26/2021 18:27,IP Address,104.222.27.33,100,115,TRUE,4/26/2021 18:27,R_3GCHs4Lws4IODDC,,,,,33.59030151,-101.9371033,anonymous,EN,I do consent to participate,Okay,,A little good,Somewhat different,Likely different job,Very satisfying,Very satisfying,Slightly satisfying,I would offer them higher wages.,"change job wages, value, hours, work","change job wages, value, hours, work",TRUE,"change job wages, value, hours, work",Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,22,Female,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Working class,,,cultural
4/26/2021 18:32,4/26/2021 18:47,IP Address,69.47.24.120,100,869,TRUE,4/26/2021 18:47,R_3kBUL67L8k31Wvp,,,,,41.66299438,-87.85240173,anonymous,EN,I do consent to participate,Okay,,A little good,Somewhat different,Likely aquafruit farmer,Very satisfying,Slightly satisfying,Not at all satisfying,I would speak to the Zarpies and encourage some of them to work as distribution managers by focusing on the much more comfortable wage they would be earning and how they could invest that money back into the Zarpie community and lift their entire community up economically.,change group beliefs/culture,change group beliefs/culture,TRUE,change group beliefs/culture,Somewhat difficult,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,40,Female,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Middle class,,,cultural
4/26/2021 18:51,4/26/2021 18:55,IP Address,47.186.76.181,100,256,TRUE,4/26/2021 18:55,R_1ZUjQGwCW2kr03f,,,,,33.00320435,-96.54340363,anonymous,EN,I do consent to participate,Okay,,Pretty good,Equally similar and different,Likely different job,Very satisfying,Somewhat satisfying,Slightly satisfying,I would try to pass a bill and presenting an argument on national TV vouching for Zarpies to be able to try different jobs and try being distributions managers.,change group beliefs/culture,create more jobs or access to jobs,FALSE,create more jobs or access to jobs,Somewhat difficult,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,22,Male,,South or Southeast Asian,,Some college,Middle class,,,structural
4/26/2021 18:57,4/26/2021 19:01,IP Address,24.119.143.223,100,288,TRUE,4/26/2021 19:01,R_1LRwIlbtSbVqetK,,,,,42.03259277,-97.42649841,anonymous,EN,I do consent to participate,Okay,,Pretty good,Somewhat different,Likely aquafruit farmer,Extremely satisfying,Somewhat satisfying,Not at all satisfying,Working as a distribution manager is a very low risk and high paying job.,other,"change job wages, value, hours, work",FALSE,other,Very easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,43,Male,,"White, Caucasian, or European American",,Some college,Middle class,no,I don't know,biological
4/26/2021 19:01,4/26/2021 19:04,IP Address,70.189.80.219,100,180,TRUE,4/26/2021 19:04,R_2wmoHnfmNiGaCGr,,,,,36.06059265,-95.94560242,anonymous,EN,I do consent to participate,Not okay,Pretty bad,,Somewhat different,Likely different job,Somewhat satisfying,Slightly satisfying,Slightly satisfying,Educate them and set them up for success at that job,provide job training to group,provide job training to group,TRUE,provide job training to group,Somewhat difficult,"Zarpies,Hibbles","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,31,Female,,"White, Caucasian, or European American",,High school/GED,Middle class,,,biological
4/26/2021 18:32,4/26/2021 19:11,IP Address,65.30.191.160,100,2290,TRUE,4/26/2021 19:11,R_22Xn2G4IpB2z0Ch,,,,,42.95100403,-87.9437027,anonymous,EN,I do consent to participate,Not okay,"Very, very bad",,Very similar,For sure different job,Not at all satisfying,Not at all satisfying,Not at all satisfying,I would give the Zarpies a better education. That way the paperwork would not be so daunting and difficult for them. They need opportunity more than anything else. ,provide job training to group,provide job training to group,TRUE,provide job training to group,Very easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,49,Female,,East Asian,,"Bachelor's (B.A., B.S.)",Middle class,,,structural
4/26/2021 19:22,4/26/2021 19:26,IP Address,98.111.116.158,100,277,TRUE,4/26/2021 19:26,R_3EMUfXOIzpBs9hU,,,,,40.2749939,-76.80390167,anonymous,EN,I do consent to participate,Okay,,Pretty good,Somewhat different,For sure different job,Somewhat satisfying,Slightly satisfying,Slightly satisfying,Offer a Zarpie a job as a manager and tell him to recommend the job to his friends and family if he enjoys it. ,change group beliefs/culture,create more jobs or access to jobs,FALSE,ambiguous,Somewhat difficult,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,29,Male,,"White, Caucasian, or European American",,Some college,Working class,nope,something about social hierarchies ,cultural
4/26/2021 19:24,4/26/2021 19:27,IP Address,76.82.79.163,100,173,TRUE,4/26/2021 19:27,R_3MnvHnU510bFBMS,,,,,33.92120361,-118.142395,anonymous,EN,I do consent to participate,Not okay,Pretty bad,,Very different,Likely aquafruit farmer,Somewhat satisfying,Somewhat satisfying,Not at all satisfying,Include training for Zarpies to move up and become distribution managers. ,provide job training to group,provide job training to group,TRUE,provide job training to group,Somewhat easy,"Zarpies,Vawns",Aquafruit farmer,Learning about Zarpies and answering questions about them,Please enter your age in years:,27,Female,,South or Southeast Asian,,"Bachelor's (B.A., B.S.)",Poor,,,structural
4/26/2021 19:36,4/26/2021 19:40,IP Address,71.236.67.104,100,213,TRUE,4/26/2021 19:40,R_etzWIQLAkjWiUg1,,,,,40.15879822,-79.81220245,anonymous,EN,I do consent to participate,Not okay,Pretty bad,,Somewhat different,Likely different job,Slightly satisfying,Slightly satisfying,Very satisfying,reduce the cost to be hired for other jobs,create more jobs or access to jobs,create more jobs or access to jobs,TRUE,create more jobs or access to jobs,Very easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,43,Male,,"White, Caucasian, or European American",,Some college,Working class,,voting laws,structural
4/26/2021 19:50,4/26/2021 19:53,IP Address,69.117.190.55,100,214,TRUE,4/26/2021 19:53,R_3NwY7O5uAuXG1Kc,,,,,40.87309265,-74.74259949,anonymous,EN,I do consent to participate,Okay,,Pretty good,Somewhat similar,Likely different job,Somewhat satisfying,Somewhat satisfying,Not at all satisfying,I would offer Zarpies more money so the pay disparity can become closer.,"change job wages, value, hours, work","change job wages, value, hours, work",TRUE,"change job wages, value, hours, work",Somewhat difficult,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,32,Male,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Middle class,,,cultural
4/26/2021 19:48,4/26/2021 19:54,IP Address,142.196.151.58,100,352,TRUE,4/26/2021 19:54,R_2rIA5bh0pPpyQ1I,,,,,28.55880737,-81.34950256,anonymous,EN,I do consent to participate,Okay,,Pretty good,Somewhat different,Likely aquafruit farmer,Somewhat satisfying,Very satisfying,Not at all satisfying,I would increase the pay to Zarpies who decide to work as distribution managers.,"change job wages, value, hours, work","change job wages, value, hours, work",TRUE,"change job wages, value, hours, work",Very easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,37,Male,,"White, Caucasian, or European American",,"Master's (M.A., M.S.)",Affluent,No problems.,Gauging our perceptions of hypothetical people based on limited information.,biological
4/26/2021 20:24,4/26/2021 20:29,IP Address,76.87.178.24,100,240,TRUE,4/26/2021 20:29,R_1hxRSR88kIruYBh,,,,,34.74710083,-118.3686981,anonymous,EN,I do consent to participate,Not okay,"Very, very bad",,Somewhat different,Likely different job,Not at all satisfying,Not at all satisfying,Slightly satisfying,Simplify the application process.,create more jobs or access to jobs,create more jobs or access to jobs,TRUE,create more jobs or access to jobs,Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,36,Male,,Hispanic or Latino/a,,"Bachelor's (B.A., B.S.)",Working class,Everything worked fine,examining people and how governments and red tape can separate them.,structural
4/26/2021 20:34,4/26/2021 20:39,IP Address,98.230.60.199,100,329,TRUE,4/26/2021 20:39,R_2TRAyX2J366pGzC,,,,,30.52180481,-84.26260376,anonymous,EN,I do consent to participate,Okay,,Pretty good,Somewhat similar,Likely aquafruit farmer,Very satisfying,Not at all satisfying,Not at all satisfying,"I would try to explain to the zarpy that being a distribution manager is safer than harvesting aquafruit, and therefore a more desirable career.",change group beliefs/culture,change group beliefs/culture,TRUE,change group beliefs/culture,Very easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,34,Male,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Working class,Everything was crystal clear,I have no idea.,cultural
4/26/2021 20:35,4/26/2021 20:40,IP Address,174.74.193.156,100,283,TRUE,4/26/2021 20:40,R_xbB7UagkWkQ9kBP,,,,,33.60679626,-112.2278976,anonymous,EN,I do consent to participate,Okay,,Pretty good,Somewhat similar,Likely aquafruit farmer,Somewhat satisfying,Slightly satisfying,Not at all satisfying,They could have part time work and still farm as I think they like to farm. Possibly some would then be full time eventually as distribution managers as they got used to the work.,other,ambiguous,FALSE,other,Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,58,Female,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Middle class,no,Not sure sorry,biological
4/26/2021 20:51,4/26/2021 20:57,IP Address,108.34.225.234,100,331,TRUE,4/26/2021 20:57,R_3Lb8ZcRaO5fFqdg,,,,,41.83070374,-71.39820099,anonymous,EN,I do consent to participate,Okay,,A little good,Somewhat different,Likely different job,Somewhat satisfying,Slightly satisfying,Not at all satisfying,I would ask companies running distribution centers to specifically allocate a portion of distribution manager position to Zarpies (somewhat similar to affirmative action),create more jobs or access to jobs,create more jobs or access to jobs,TRUE,create more jobs or access to jobs,Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,45,Male,,"White, Caucasian, or European American",,"Master's (M.A., M.S.)",Middle class,,"I am not sure, to be honest",cultural
4/26/2021 20:53,4/26/2021 21:00,IP Address,68.129.50.115,100,373,TRUE,4/26/2021 21:00,R_1eY3OFNH8eBbShl,,,,,40.63270569,-73.63330078,anonymous,EN,I do consent to participate,Okay,,Pretty good,Somewhat different,Likely aquafruit farmer,Not at all satisfying,Very satisfying,Somewhat satisfying,Have them work specifically with distributing aquafruit ,other,create more jobs or access to jobs,FALSE,create more jobs or access to jobs,Somewhat difficult,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,32,Male,,"White, Caucasian, or European American",,High school/GED,Middle class,None,I am not sure,biological
4/26/2021 21:04,4/26/2021 21:10,IP Address,71.81.0.218,100,403,TRUE,4/26/2021 21:10,R_VPaqxSSViBdXZxD,,,,,34.83079529,-82.35070038,anonymous,EN,I do consent to participate,Okay,,A little good,Somewhat different,Likely different job,Somewhat satisfying,Slightly satisfying,Not at all satisfying,Offer them the same higher wage that other distribution managers earn.,"change job wages, value, hours, work","change job wages, value, hours, work",TRUE,"change job wages, value, hours, work",Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,43,Female,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Middle class,no,income inequality?,biological
4/26/2021 21:04,4/26/2021 21:10,IP Address,97.73.81.36,100,374,TRUE,4/26/2021 21:10,R_28AuPYGJToTQ2IJ,,,,,38.65829468,-77.24810028,anonymous,EN,I do consent to participate,Not okay,Pretty bad,,Somewhat different,Likely different job,Extremely satisfying,Somewhat satisfying,Not at all satisfying,Remove the requirements for filling out expensive paperwork.,create more jobs or access to jobs,create more jobs or access to jobs,TRUE,create more jobs or access to jobs,Very easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,38,Male,,"White, Caucasian, or European American,Native American, American Indian, or Alaska Native",,High school/GED,Working class,No problems.,Views on inequality.,structural
4/26/2021 21:36,4/26/2021 21:41,IP Address,74.72.142.129,100,296,TRUE,4/26/2021 21:41,R_5Ayu1RtmbdOtcJ3,,,,,41.59469604,-74.50360107,anonymous,EN,I do consent to participate,Not okay,Pretty bad,,Very different,Likely aquafruit farmer,Slightly satisfying,Not at all satisfying,Not at all satisfying,I would like to get the Zarpies skill-specific education that would enable them to become distribution managers.,provide job training to group,provide job training to group,TRUE,provide job training to group,Very easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,42,Female,,"White, Caucasian, or European American",,Prefer not to specify,Working class,,,structural
4/26/2021 22:19,4/26/2021 22:22,IP Address,98.167.97.5,100,177,TRUE,4/26/2021 22:22,R_3qrkocre0ydSVwD,,,,,36.26249695,-115.1732025,anonymous,EN,I do consent to participate,Okay,,A little good,Somewhat different,Likely aquafruit farmer,Very satisfying,Not at all satisfying,Not at all satisfying,Explain to zarpies that Distrubtion manager has its pros over aquafruits.,change group beliefs/culture,change group beliefs/culture,TRUE,change group beliefs/culture,Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,25,Male,,East Asian,,Some college,Poor,,To see how people view groups.,cultural
4/26/2021 22:25,4/26/2021 22:26,IP Address,47.229.22.105,100,27,TRUE,4/26/2021 22:26,R_usryGUB1XoEqXLP,,,,,34.18359375,-118.2962952,anonymous,EN,I do NOT consent to participate,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
