StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,acceptability,acceptability_notOk,acceptability_ok,diff,switched_context,expl_rate_1,expl_rate_2,expl_rate_3,intervention,intervention_diff,check_group,check_job,check_task,age,age_2_TEXT,gender,gender_4_TEXT,race,race_15_TEXT,education,ses,debrief_1,debrief_3,condition
2021-04-26 17:06:12,2021-04-26 17:10:50,IP Address,73.125.20.223,100,278,True,2021-04-26 17:10:50,R_31SeGf9WXp4fmGO,,,,,26.3480072021484375,-80.14980316162109375,anonymous,EN,I do consent to participate,Not okay,Pretty bad,,Somewhat similar,For sure different job,Very satisfying,Somewhat satisfying,Very satisfying,I would provide more opportunities for Zarpies to work as distribution managers by creating more openings for the position and give them the training they need.,Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,30,Male,,East Asian,,"Bachelor's (B.A., B.S.)",Middle class,No issues.,This study is about how fictional scenarios can be applied to real life people who has to work in dangerous environments for little pay.,biological_neg
2021-04-26 17:07:25,2021-04-26 17:11:12,IP Address,47.6.220.138,100,226,True,2021-04-26 17:11:12,R_1gbXh8nO17oatuo,,,,,46.592193603515625,-120.529998779296875,anonymous,EN,I do consent to participate,Not okay,"Very, very bad",,Very similar,For sure different job,Somewhat satisfying,Not at all satisfying,Not at all satisfying,I would get rid of the complex paperwork which is an obstacle.,Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,53,Female,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Working class,,,structural
2021-04-26 17:03:36,2021-04-26 17:13:31,IP Address,69.137.191.111,100,594,True,2021-04-26 17:13:31,R_2cni0AhJtoa7jsJ,,,,,32.4062957763671875,-111.06330108642578125,anonymous,EN,I do consent to participate,Okay,,A little good,Somewhat different,Likely aquafruit farmer,Extremely satisfying,Slightly satisfying,Not at all satisfying,I would increase compensation for distribution managers to try and incentivize more Zarpies to go that route.,Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,23,Female,,"White, Caucasian, or European American,Hispanic or Latino/a",,High school/GED,Poor,,,biological_pos
2021-04-26 17:03:50,2021-04-26 17:15:23,IP Address,172.0.73.38,100,692,True,2021-04-26 17:15:23,R_bvZV8IPLY86fgbv,,,,,37.9759979248046875,-122.33589935302734375,anonymous,EN,I do consent to participate,Not okay,"Very, very bad",,Very similar,Likely different job,Slightly satisfying,Slightly satisfying,Not at all satisfying,I would create a special part time distribution manager position for the Zarpies. This would still them pay them the same full-time salary as the Vawns but would require them to work much fewer hours. This way they would still have some time to enjoy the ocean and help farm aquafruit if they still desired to do so. I would make this possible by requiring the Vawns to take less pay and to have them work longer full-time shifts. This would balance out the economics on the island slightly so that some Zarpies could enjoy the benefits of fair pay for work and still have their traditions.,Somewhat difficult,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,33,Male,,Black or African American,,Some college,Middle class,I didn't have any problems with this task.,I think this study was about one's perception of race and tradition and how that affect's one perception of socioeconomics.,cultural_pos
2021-04-26 17:18:55,2021-04-26 17:18:58,IP Address,12.204.36.3,100,2,True,2021-04-26 17:18:58,R_xDiypbmMnnSCInv,,,,,32.8983001708984375,-96.1260986328125,anonymous,EN,I do NOT consent to participate,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-26 17:15:42,2021-04-26 17:19:04,IP Address,96.3.154.154,100,201,True,2021-04-26 17:19:04,R_3jZQoaf2ffnl4UF,,,,,44.9048004150390625,-97.124298095703125,anonymous,EN,I do consent to participate,Not okay,"Very, very bad",,Somewhat similar,Likely different job,Not at all satisfying,Not at all satisfying,Very satisfying,Changes the laws so it is easier for Zarpies to work as managers.,Somewhat difficult,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,30,Male,,"White, Caucasian, or European American",,Some college,Working class,the task was easy and worked fine.,discrimination. A3EG4C9T4F5DUR,structural
2021-04-26 17:16:46,2021-04-26 17:20:41,IP Address,174.126.143.151,100,235,True,2021-04-26 17:20:42,R_2yjwI4xUF1uTx4F,,,,,33.4795989990234375,-88.3527984619140625,anonymous,EN,I do consent to participate,Okay,,Pretty good,Somewhat different,For sure different job,Extremely satisfying,Extremely satisfying,Slightly satisfying,I would set up a way for them to get accepted in these positions easier.,Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,45,Female,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Middle class,No,unsure,biological_pos
2021-04-26 17:13:34,2021-04-26 17:21:21,IP Address,98.26.8.159,100,466,True,2021-04-26 17:21:21,R_8ArNqwad4gmvyJr,,,,,35.7633056640625,-78.70999908447265625,anonymous,EN,I do consent to participate,Not okay,"Very, very bad",,Very similar,For sure different job,Somewhat satisfying,Not at all satisfying,Not at all satisfying,"Groom Zarpie children to become distribution managers. The older Zarpies may unfortunately be socially conditioned to be subordinates. We recruit talent from the older Zarpies but focus on grooming the next generation. ",Very easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,39,Male,,Black or African American,,Some college,Poor,,This feels like a study about social inequality.,cultural_neg
2021-04-26 17:09:03,2021-04-26 17:23:19,IP Address,107.202.185.169,100,855,True,2021-04-26 17:23:20,R_33sDK4uUrcRV38V,,,,,41.8878936767578125,-88.19950103759765625,anonymous,EN,I do consent to participate,Not okay,Pretty bad,,Very different,For sure different job,Slightly satisfying,Not at all satisfying,Somewhat satisfying,"I would offer economic incentives. More specifically, I would give three months salary as a Zarpie farmer if they switch to become a manager.",Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,31,Male,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Middle class,"No, I did not find anything to be confusing. Rather, I would leave this study as-is.","If I have to guess, it gauges how participants view low wage workers.",cultural_neg
2021-04-26 17:21:01,2021-04-26 17:24:57,IP Address,12.204.36.3,100,236,True,2021-04-26 17:24:57,R_2Bh3YS9HqOEproM,,,,,32.8983001708984375,-96.1260986328125,anonymous,EN,I do consent to participate,Not okay,Pretty bad,,Very different,Likely different job,Slightly satisfying,Slightly satisfying,Very satisfying,Fund better education opportunities for Zarpies so they can acquire the necessary skills to compete for positions like distribution managers.,Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,28,Male,,"White, Caucasian, or European American",,High school/GED,Working class,No,Probably studying race or immigration.,cultural_pos
2021-04-26 16:47:11,2021-04-26 17:36:55,IP Address,191.101.133.102,100,2984,True,2021-04-26 17:37:34,R_3qaMWMJpeAK3nWb,,,,,40.7126007080078125,-74.00659942626953125,anonymous,EN,I do consent to participate,Okay,,Pretty good,Somewhat similar,Likely different job,Very satisfying,Somewhat satisfying,Very satisfying,"Train them to work, live and have managerial ethics. ",Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,30,Male,,Hispanic or Latino/a,,"Bachelor's (B.A., B.S.)",Middle class,none,"Consumer perceptions on different groups in the society. ",biological_neg
2021-04-26 17:57:13,2021-04-26 17:59:49,IP Address,173.23.127.126,100,155,True,2021-04-26 17:59:50,R_11WNe0PNlPaqfTT,,,,,37.1136932373046875,-93.2895965576171875,anonymous,EN,I do consent to participate,Not okay,Pretty bad,,Very different,Likely different job,Not at all satisfying,Slightly satisfying,Somewhat satisfying,I would try to make it more equal in hiring for managers.  Based it on qualifications as opposed what the person is.,Very difficult,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,33,Male,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Middle class,no,feelings on job equality,cultural_neg
2021-04-26 17:54:11,2021-04-26 18:03:35,IP Address,131.106.53.170,100,563,True,2021-04-26 18:03:35,R_Ap2FKYKNNOfMlK9,,,,,40.6027069091796875,-75.4777984619140625,anonymous,EN,I do consent to participate,Not okay,A little bad,,Somewhat different,Likely aquafruit farmer,Not at all satisfying,Slightly satisfying,Slightly satisfying,Make the paperwork required for other jobs to be less expensive and less complex,Somewhat difficult,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,39,Male,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Middle class,,,structural
2021-04-26 18:01:52,2021-04-26 18:05:35,IP Address,192.181.181.202,100,223,True,2021-04-26 18:05:35,R_6zG5NnSztDQKoi5,,,,,39.317901611328125,-84.24829864501953125,anonymous,EN,I do consent to participate,Okay,,Pretty good,Somewhat different,Likely different job,Very satisfying,Not at all satisfying,Slightly satisfying,Start having young Zarpies job shadow Vawns at work.,Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,31,Male,,"White, Caucasian, or European American",,"Doctoral (Ph.D., J.D., M.D.)",Middle class,I had no issues.,I think its about attributing certain jobs to certain racial groups.,biological_neg
2021-04-26 18:08:42,2021-04-26 18:12:42,IP Address,70.37.197.92,100,240,True,2021-04-26 18:12:42,R_3PFYRFF7QYHey4J,,,,,42.503692626953125,-97.205596923828125,anonymous,EN,I do consent to participate,Not okay,Pretty bad,,Somewhat different,Likely different job,Slightly satisfying,Not at all satisfying,Not at all satisfying,I would change the paperwork requirements for Zarpies to work as distribution managers.,Very easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,38,Female,,"White, Caucasian, or European American",,Some college,Middle class,I had no issues at all and liked the way it was set up.,Whether or not we should just accept the way things are.,structural
2021-04-26 18:04:33,2021-04-26 18:22:43,IP Address,205.244.36.236,100,1089,True,2021-04-26 18:22:43,R_1IHjzVbrq4CnoZP,,,,,41.8368072509765625,-75.53070068359375,anonymous,EN,I do consent to participate,Okay,,A little good,Somewhat different,Likely aquafruit farmer,Slightly satisfying,Somewhat satisfying,Very satisfying,I would establish education and training for Zarpies to facilitate their working as distribution managers and to further normalize their entrance into that field. Perhaps this education could be free or subsidized for well qualified candidates and would be accompanied by a push in public awareness that this path is and should be available for all groups.,Somewhat difficult,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,43,Male,,"White, Caucasian, or European American",,Some college,Working class,"Everything seemed clear. ","Perhaps the study relates to perceptions of people in different economic classes and their chances for upward mobility. ",biological
2021-04-26 18:23:46,2021-04-26 18:23:48,IP Address,173.73.32.51,100,2,True,2021-04-26 18:23:48,R_1Cd2O7VtgaW1dup,,,,,38.7480926513671875,-77.2382965087890625,anonymous,EN,I do NOT consent to participate,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-26 18:23:51,2021-04-26 18:26:39,IP Address,97.98.127.91,100,167,True,2021-04-26 18:26:39,R_4Gb3otX1GmFuGsx,,,,,27.6349029541015625,-97.310302734375,anonymous,EN,I do consent to participate,Okay,,A little good,Somewhat different,Likely aquafruit farmer,Not at all satisfying,Extremely satisfying,Somewhat satisfying,Make a concerted effort to hire more Zarpies over other applicants,Somewhat difficult,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,37,Female,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Working class,,Whether discrimination is alright in some circumstances,biological
2021-04-26 18:25:23,2021-04-26 18:27:19,IP Address,104.222.27.33,100,115,True,2021-04-26 18:27:19,R_3GCHs4Lws4IODDC,,,,,33.590301513671875,-101.937103271484375,anonymous,EN,I do consent to participate,Okay,,A little good,Somewhat different,Likely different job,Very satisfying,Very satisfying,Slightly satisfying,I would offer them higher wages.,Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,22,Female,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Working class,,,cultural
2021-04-26 18:32:32,2021-04-26 18:47:02,IP Address,69.47.24.120,100,869,True,2021-04-26 18:47:02,R_3kBUL67L8k31Wvp,,,,,41.662994384765625,-87.8524017333984375,anonymous,EN,I do consent to participate,Okay,,A little good,Somewhat different,Likely aquafruit farmer,Very satisfying,Slightly satisfying,Not at all satisfying,I would speak to the Zarpies and encourage some of them to work as distribution managers by focusing on the much more comfortable wage they would be earning and how they could invest that money back into the Zarpie community and lift their entire community up economically.,Somewhat difficult,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,40,Female,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Middle class,,,cultural
2021-04-26 18:51:03,2021-04-26 18:55:20,IP Address,47.186.76.181,100,256,True,2021-04-26 18:55:20,R_1ZUjQGwCW2kr03f,,,,,33.003204345703125,-96.54340362548828125,anonymous,EN,I do consent to participate,Okay,,Pretty good,Equally similar and different,Likely different job,Very satisfying,Somewhat satisfying,Slightly satisfying,I would try to pass a bill and presenting an argument on national TV vouching for Zarpies to be able to try different jobs and try being distributions managers.,Somewhat difficult,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,22,Male,,South or Southeast Asian,,Some college,Middle class,,,structural
2021-04-26 18:57:03,2021-04-26 19:01:52,IP Address,24.119.143.223,100,288,True,2021-04-26 19:01:52,R_1LRwIlbtSbVqetK,,,,,42.0325927734375,-97.4264984130859375,anonymous,EN,I do consent to participate,Okay,,Pretty good,Somewhat different,Likely aquafruit farmer,Extremely satisfying,Somewhat satisfying,Not at all satisfying,Working as a distribution manager is a very low risk and high paying job.,Very easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,43,Male,,"White, Caucasian, or European American",,Some college,Middle class,no,I don't know,biological
2021-04-26 19:01:10,2021-04-26 19:04:10,IP Address,70.189.80.219,100,180,True,2021-04-26 19:04:11,R_2wmoHnfmNiGaCGr,,,,,36.0605926513671875,-95.9456024169921875,anonymous,EN,I do consent to participate,Not okay,Pretty bad,,Somewhat different,Likely different job,Somewhat satisfying,Slightly satisfying,Slightly satisfying,Educate them and set them up for success at that job,Somewhat difficult,"Zarpies,Hibbles","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,31,Female,,"White, Caucasian, or European American",,High school/GED,Middle class,,,biological
2021-04-26 18:32:55,2021-04-26 19:11:06,IP Address,65.30.191.160,100,2290,True,2021-04-26 19:11:06,R_22Xn2G4IpB2z0Ch,,,,,42.9510040283203125,-87.94370269775390625,anonymous,EN,I do consent to participate,Not okay,"Very, very bad",,Very similar,For sure different job,Not at all satisfying,Not at all satisfying,Not at all satisfying,"I would give the Zarpies a better education. That way the paperwork would not be so daunting and difficult for them. They need opportunity more than anything else. ",Very easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,49,Female,,East Asian,,"Bachelor's (B.A., B.S.)",Middle class,,,structural
2021-04-26 19:22:12,2021-04-26 19:26:50,IP Address,98.111.116.158,100,277,True,2021-04-26 19:26:50,R_3EMUfXOIzpBs9hU,,,,,40.274993896484375,-76.80390167236328125,anonymous,EN,I do consent to participate,Okay,,Pretty good,Somewhat different,For sure different job,Somewhat satisfying,Slightly satisfying,Slightly satisfying,"Offer a Zarpie a job as a manager and tell him to recommend the job to his friends and family if he enjoys it. ",Somewhat difficult,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,29,Male,,"White, Caucasian, or European American",,Some college,Working class,nope,"something about social hierarchies ",cultural
2021-04-26 19:24:08,2021-04-26 19:27:01,IP Address,76.82.79.163,100,173,True,2021-04-26 19:27:01,R_3MnvHnU510bFBMS,,,,,33.92120361328125,-118.14239501953125,anonymous,EN,I do consent to participate,Not okay,Pretty bad,,Very different,Likely aquafruit farmer,Somewhat satisfying,Somewhat satisfying,Not at all satisfying,"Include training for Zarpies to move up and become distribution managers. ",Somewhat easy,"Zarpies,Vawns",Aquafruit farmer,Learning about Zarpies and answering questions about them,Please enter your age in years:,27,Female,,South or Southeast Asian,,"Bachelor's (B.A., B.S.)",Poor,,,structural
2021-04-26 19:36:52,2021-04-26 19:40:25,IP Address,71.236.67.104,100,213,True,2021-04-26 19:40:25,R_etzWIQLAkjWiUg1,,,,,40.1587982177734375,-79.81220245361328125,anonymous,EN,I do consent to participate,Not okay,Pretty bad,,Somewhat different,Likely different job,Slightly satisfying,Slightly satisfying,Very satisfying,reduce the cost to be hired for other jobs,Very easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,43,Male,,"White, Caucasian, or European American",,Some college,Working class,,voting laws,structural
2021-04-26 19:50:06,2021-04-26 19:53:40,IP Address,69.117.190.55,100,214,True,2021-04-26 19:53:40,R_3NwY7O5uAuXG1Kc,,,,,40.8730926513671875,-74.7425994873046875,anonymous,EN,I do consent to participate,Okay,,Pretty good,Somewhat similar,Likely different job,Somewhat satisfying,Somewhat satisfying,Not at all satisfying,I would offer Zarpies more money so the pay disparity can become closer.,Somewhat difficult,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,32,Male,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Middle class,,,cultural
2021-04-26 19:48:54,2021-04-26 19:54:47,IP Address,142.196.151.58,100,352,True,2021-04-26 19:54:47,R_2rIA5bh0pPpyQ1I,,,,,28.558807373046875,-81.3495025634765625,anonymous,EN,I do consent to participate,Okay,,Pretty good,Somewhat different,Likely aquafruit farmer,Somewhat satisfying,Very satisfying,Not at all satisfying,I would increase the pay to Zarpies who decide to work as distribution managers.,Very easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,37,Male,,"White, Caucasian, or European American",,"Master's (M.A., M.S.)",Affluent,No problems.,Gauging our perceptions of hypothetical people based on limited information.,biological
2021-04-26 20:24:59,2021-04-26 20:29:00,IP Address,76.87.178.24,100,240,True,2021-04-26 20:29:00,R_1hxRSR88kIruYBh,,,,,34.747100830078125,-118.3686981201171875,anonymous,EN,I do consent to participate,Not okay,"Very, very bad",,Somewhat different,Likely different job,Not at all satisfying,Not at all satisfying,Slightly satisfying,Simplify the application process.,Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,36,Male,,Hispanic or Latino/a,,"Bachelor's (B.A., B.S.)",Working class,Everything worked fine,examining people and how governments and red tape can separate them.,structural
2021-04-26 20:34:15,2021-04-26 20:39:45,IP Address,98.230.60.199,100,329,True,2021-04-26 20:39:47,R_2TRAyX2J366pGzC,,,,,30.5218048095703125,-84.262603759765625,anonymous,EN,I do consent to participate,Okay,,Pretty good,Somewhat similar,Likely aquafruit farmer,Very satisfying,Not at all satisfying,Not at all satisfying,"I would try to explain to the zarpy that being a distribution manager is safer than harvesting aquafruit, and therefore a more desirable career.",Very easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,34,Male,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Working class,Everything was crystal clear,I have no idea.,cultural
2021-04-26 20:35:28,2021-04-26 20:40:12,IP Address,174.74.193.156,100,283,True,2021-04-26 20:40:12,R_xbB7UagkWkQ9kBP,,,,,33.6067962646484375,-112.22789764404296875,anonymous,EN,I do consent to participate,Okay,,Pretty good,Somewhat similar,Likely aquafruit farmer,Somewhat satisfying,Slightly satisfying,Not at all satisfying,They could have part time work and still farm as I think they like to farm. Possibly some would then be full time eventually as distribution managers as they got used to the work.,Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,58,Female,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Middle class,no,Not sure sorry,biological
2021-04-26 20:51:56,2021-04-26 20:57:28,IP Address,108.34.225.234,100,331,True,2021-04-26 20:57:29,R_3Lb8ZcRaO5fFqdg,,,,,41.8307037353515625,-71.39820098876953125,anonymous,EN,I do consent to participate,Okay,,A little good,Somewhat different,Likely different job,Somewhat satisfying,Slightly satisfying,Not at all satisfying,I would ask companies running distribution centers to specifically allocate a portion of distribution manager position to Zarpies (somewhat similar to affirmative action),Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,45,Male,,"White, Caucasian, or European American",,"Master's (M.A., M.S.)",Middle class,,"I am not sure, to be honest",cultural
2021-04-26 20:53:46,2021-04-26 21:00:00,IP Address,68.129.50.115,100,373,True,2021-04-26 21:00:00,R_1eY3OFNH8eBbShl,,,,,40.6327056884765625,-73.63330078125,anonymous,EN,I do consent to participate,Okay,,Pretty good,Somewhat different,Likely aquafruit farmer,Not at all satisfying,Very satisfying,Somewhat satisfying,"Have them work specifically with distributing aquafruit ",Somewhat difficult,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,32,Male,,"White, Caucasian, or European American",,High school/GED,Middle class,None,I am not sure,biological
2021-04-26 21:04:10,2021-04-26 21:10:53,IP Address,71.81.0.218,100,403,True,2021-04-26 21:10:53,R_VPaqxSSViBdXZxD,,,,,34.8307952880859375,-82.35070037841796875,anonymous,EN,I do consent to participate,Okay,,A little good,Somewhat different,Likely different job,Somewhat satisfying,Slightly satisfying,Not at all satisfying,Offer them the same higher wage that other distribution managers earn.,Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,43,Female,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Middle class,no,income inequality?,biological
2021-04-26 21:04:39,2021-04-26 21:10:53,IP Address,97.73.81.36,100,374,True,2021-04-26 21:10:54,R_28AuPYGJToTQ2IJ,,,,,38.658294677734375,-77.24810028076171875,anonymous,EN,I do consent to participate,Not okay,Pretty bad,,Somewhat different,Likely different job,Extremely satisfying,Somewhat satisfying,Not at all satisfying,Remove the requirements for filling out expensive paperwork.,Very easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,38,Male,,"White, Caucasian, or European American,Native American, American Indian, or Alaska Native",,High school/GED,Working class,No problems.,Views on inequality.,structural
2021-04-26 21:36:19,2021-04-26 21:41:16,IP Address,74.72.142.129,100,296,True,2021-04-26 21:41:16,R_5Ayu1RtmbdOtcJ3,,,,,41.594696044921875,-74.50360107421875,anonymous,EN,I do consent to participate,Not okay,Pretty bad,,Very different,Likely aquafruit farmer,Slightly satisfying,Not at all satisfying,Not at all satisfying,I would like to get the Zarpies skill-specific education that would enable them to become distribution managers.,Very easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,42,Female,,"White, Caucasian, or European American",,Prefer not to specify,Working class,,,structural
2021-04-26 22:19:04,2021-04-26 22:22:02,IP Address,98.167.97.5,100,177,True,2021-04-26 22:22:02,R_3qrkocre0ydSVwD,,,,,36.2624969482421875,-115.1732025146484375,anonymous,EN,I do consent to participate,Okay,,A little good,Somewhat different,Likely aquafruit farmer,Very satisfying,Not at all satisfying,Not at all satisfying,Explain to zarpies that Distrubtion manager has its pros over aquafruits.,Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,25,Male,,East Asian,,Some college,Poor,,To see how people view groups.,cultural
2021-04-26 22:25:38,2021-04-26 22:26:06,IP Address,47.229.22.105,100,27,True,2021-04-26 22:26:06,R_usryGUB1XoEqXLP,,,,,34.18359375,-118.296295166015625,anonymous,EN,I do NOT consent to participate,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-26 22:23:17,2021-04-26 22:29:37,IP Address,68.103.170.223,100,379,True,2021-04-26 22:29:37,R_1eCMWDSGQ9eYfi9,,,,,37.067596435546875,-97.03569793701171875,anonymous,EN,I do consent to participate,Okay,,Pretty good,Somewhat different,Likely different job,Slightly satisfying,Slightly satisfying,Very satisfying,"Increase the freedom to work as many or less hours as a distribution manager. ",Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,30,Male,,"White, Caucasian, or European American",,High school/GED,Working class,No.,Perception of various groups and decision making,structural
2021-04-26 22:25:41,2021-04-26 22:30:19,IP Address,96.249.219.65,100,277,True,2021-04-26 22:30:19,R_u9qaUIuIGc2b9zb,,,,,41.69189453125,-73.86419677734375,anonymous,EN,I do consent to participate,Okay,,A little good,Somewhat different,Likely aquafruit farmer,Not at all satisfying,Somewhat satisfying,Not at all satisfying,Institute an affirmative action plan to hire Zarpies as distribution managers.,Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,54,Male,,"White, Caucasian, or European American",,Some college,Working class,No problems,I'm not sure,biological
2021-04-26 22:27:45,2021-04-26 22:30:29,IP Address,70.121.208.183,100,164,True,2021-04-26 22:30:30,R_3PTQvT73JqlY7wo,,,,,29.5442962646484375,-98.549896240234375,anonymous,EN,I do consent to participate,Okay,,Pretty good,Somewhat different,Likely aquafruit farmer,Extremely satisfying,Not at all satisfying,Not at all satisfying,"I would try to introduce the Zarpies to what the Vawns do on a daily basis and see if they're interested. I'm sure at least some Zarpies are not wholly satisfied working as farmers, so I think I could get a few Zarpies to convert to becoming managers.",Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,25,Male,,East Asian,,"Bachelor's (B.A., B.S.)",Middle class,none,unsure,cultural
2021-04-26 22:23:11,2021-04-26 22:30:31,IP Address,73.18.116.223,100,440,True,2021-04-26 22:30:31,R_33Eb8PJdIlSx9Pu,,,,,42.2523040771484375,-83.21070098876953125,anonymous,EN,I do consent to participate,Not okay,Pretty bad,,Somewhat different,Likely different job,Slightly satisfying,Not at all satisfying,Not at all satisfying,create a program where zarpies could have their schooling or training paid for by the government so they can become managers instead of being stuck in the field of farming.,Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,42,Male,,"White, Caucasian, or European American,Hispanic or Latino/a",,High school/GED,Working class,,,cultural
2021-04-26 22:31:07,2021-04-26 22:31:16,IP Address,98.235.77.27,100,8,True,2021-04-26 22:31:16,R_Zf7XQRibvV51y25,,,,,40.810302734375,-77.88800048828125,anonymous,EN,I do NOT consent to participate,,,,,,,,,,,,,,,,,,,,,,,,
