StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,check_job,acceptability,acceptability_a,acceptability_b,diff,switched_context,switched_context_a,switched_context_b,intervention,intervention_coded,intervention_diff,intervention_diff_a,intervention_diff_b,check_group,check_job,check_task,age,age_2_TEXT,gender,gender_4_TEXT,race,race_15_TEXT,education,ses,debrief_1,debrief_3,condition
8/29/2021 16:40,8/29/2021 16:45,IP Address,24.208.204.197,100,292,TRUE,8/29/2021 16:45,R_1DAN3McxzJ8GaHM,,,,,39.96479797,-83.12599945,anonymous,EN,I do consent to participate,Reds,Not okay,"Very, very bad",,Somewhat similar,cleaner,,probably cleaner,Send Blues to learn how to decorate cakes.,provide job training/tools to group,Easy,Pretty easy,A little hard,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,57,Female,,"White, Caucasian, or European American",,High school/GED,Middle class,No. Everything worked fine.,How people view others and their place,structural
8/29/2021 16:41,8/29/2021 16:46,IP Address,104.183.119.52,100,279,TRUE,8/29/2021 16:46,R_b1TprsKCfQ961UZ,,,,,28.55039978,-81.1832962,anonymous,EN,I do consent to participate,Reds,Not okay,Pretty bad,,Somewhat different,cleaner,,probably cleaner,Train the blues so they could become great cake decorators.,provide job training/tools to group,Hard,,,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,31,Female,,East Asian,,"Bachelor's (B.A., B.S.)",Working class,,Our perception on social equality.,biological
8/29/2021 16:38,8/29/2021 16:51,IP Address,73.153.191.15,100,783,TRUE,8/29/2021 16:51,R_2PAOg3dy81pFgcN,,,,,39.72909546,-105.1896973,anonymous,EN,I do consent to participate,Reds,Okay,,Pretty good,Somewhat different,cleaner,,definitely cleaner,Hold a decoration contest for the Blues.,other,Easy,Pretty easy,A little hard,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Prefer not to specify,,Female,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Working class,n/a,probably races,cultural
8/29/2021 16:59,8/29/2021 17:04,IP Address,68.35.178.178,100,310,TRUE,8/29/2021 17:04,R_1cUqKOQNAnST0gE,,,,,34.66659546,-86.5535965,anonymous,EN,I do consent to participate,Reds,Not okay,"Very, very bad",,Equally similar and different,cake decorator,probably cake decorator,,I would allow the Blues the ability to go to school so they can be taught how to decorate cakes.,create more jobs or access to jobs,Easy,Pretty easy,A little hard,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,43,Male,,Black or African American,,"Bachelor's (B.A., B.S.)",Working class,,,structural
8/29/2021 17:08,8/29/2021 17:11,IP Address,67.247.68.1,100,196,TRUE,8/29/2021 17:11,R_2CsjwCZMac91ER7,,,,,43.06419373,-74.33399963,anonymous,EN,I do consent to participate,Reds,Okay,,A little good,Somewhat similar,cake decorator,maybe cake decorator,,I would tell the Blues to start decorating cakes.,change group beliefs/values,Easy,Pretty easy,A little hard,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,27,Male,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Working class,,,biological
8/29/2021 16:42,8/29/2021 17:23,IP Address,68.202.46.147,100,2436,TRUE,8/29/2021 17:23,R_3oL0oim2LCykSmM,,,,,29.04220581,-81.28630066,anonymous,EN,I do consent to participate,Reds,Okay,,A little good,Equally similar and different,cake decorator,probably cake decorator,,train blue people how to decorate cakes,provide job training/tools to group,Easy,Pretty easy,A little hard,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,50,Male,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Working class,It was very easy I can't think of anyway to improve it.,I just wanted to clarify one of my answers. I said I thought it was okay that only reds decorated cakes and only blues cleaned. What I thought wasn't okay was that cake decorators got paid more. They should either get equal pay or honestly the cleaners should get more cause their jobs are harder and less enjoyable. If you fixed that problem then honestly you'd probably see some reds opting to clean and then some blues could fill those cake decorating jobs left vacant. Yes I've given this way too much thought for an 83 cent survey. :D,cultural
8/29/2021 17:30,8/29/2021 17:35,IP Address,73.202.195.159,100,311,TRUE,8/29/2021 17:35,R_TuxJLV2bKbsvXcR,,,,,38.10249329,-122.2131958,anonymous,EN,I do consent to participate,Reds,Okay,,"Very, very good",Very different,cake decorator,probably cake decorator,,I'd have them fight back against the reds for equality and demand to decorate cake.,create more jobs or access to jobs,Hard,,,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,37,Female,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Middle class,no,equality,structural
8/29/2021 16:55,8/29/2021 17:52,IP Address,98.10.58.230,100,3409,TRUE,8/29/2021 17:52,R_2pQOlT4U2HcAt3E,,,,,43.14419556,-77.5503006,anonymous,EN,I do consent to participate,Reds,Not okay,"Very, very bad",,Very different,cleaner,,probably cleaner,I would allow blues to go to school to learn how to decorate cakes.,create more jobs or access to jobs,Easy,Very easy,A little hard,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,31,Female,,"White, Caucasian, or European American",,"Master's (M.A., M.S.)",Middle class,,,structural
8/29/2021 17:45,8/29/2021 17:53,IP Address,66.38.103.191,100,452,TRUE,8/29/2021 17:53,R_egJzcS43UsxfhPX,,,,,36.76139832,-86.19290161,anonymous,EN,I do consent to participate,Reds,Okay,,Pretty good,Equally similar and different,cake decorator,maybe cake decorator,,I would have the Reds teach the Blues how to decorate capes.,provide job training/tools to group,Easy,A little easy,A little hard,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,64,Female,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Middle class,,"racism, and how people are kept in lowering paying jobs generation after generation",cultural
8/29/2021 18:09,8/29/2021 18:18,IP Address,73.186.217.114,100,534,TRUE,8/29/2021 18:18,R_12zjsucBr7s6CpS,,,,,41.49389648,-73.05169678,anonymous,EN,I do consent to participate,Reds,Not okay,"Very, very bad",,Somewhat similar,cleaner,,probably cleaner,Hiring quota to ensure equal distribution of Reds and Blues working in the more lucrative cake decorating position.,create more jobs or access to jobs,Hard,,,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,38,Male,,"White, Caucasian, or European American,Hispanic or Latino/a",,"Bachelor's (B.A., B.S.)",Middle class,I thought everything in the study was pretty clear. One small suggestion would to perhaps change the graphics slightly as the survey indicated that the Blues had stronger arms / bodies but they looked otherwise identical to the Reds. Maybe show Blues to be a little bit more muscular than the Reds in the graphics for the sake of consistency..,"I believe the study was measuring perceptions of race and class among participants. I believe that since the future runs of the study will be targeted at children, their responses may be compared against an adult participant cohort.",biological
8/29/2021 18:20,8/29/2021 18:25,IP Address,70.175.76.68,100,256,TRUE,8/29/2021 18:25,R_1OUJTByDPoISTz5,,,,,32.27279663,-110.7658997,anonymous,EN,I do consent to participate,Reds,Not okay,Pretty bad,,Somewhat different,cleaner,,maybe cleaner,I'd file a lawsuit challenging the legality of the rule only allowing Reds to decorate cakes.,create more jobs or access to jobs,Hard,,,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,50,Male,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Working class,,,structural
8/29/2021 18:37,8/29/2021 18:42,IP Address,73.67.133.254,100,288,TRUE,8/29/2021 18:42,R_1BPps1s3ObLjboG,,,,,45.5032959,-122.7743988,anonymous,EN,I do consent to participate,Reds,Okay,,Pretty good,Somewhat different,cake decorator,maybe cake decorator,,Fire half the Reds so the Blues have to take their jobs.,create more jobs or access to jobs,Easy,Pretty easy,A little hard,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,32,Male,,"White, Caucasian, or European American",,High school/GED,Working class,,,cultural
8/29/2021 18:30,8/29/2021 18:42,IP Address,199.96.123.170,100,732,TRUE,8/29/2021 18:42,R_31z725lNNhF6Wo3,,,,,38.36000061,-86.9285965,anonymous,EN,I do consent to participate,Reds,Okay,,A little good,Somewhat different,cleaner,,probably cleaner,"Swap at least one Blue with one Red. Put them in a bit of a training program - one Blue will learn how to decorate cakes, and one Red will learn how to clean. This way, there's more diversity, allowing the Reds and Blues to develop a wider skillset.  ",create more jobs or access to jobs,Easy,A little easy,A little hard,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,23,Male,,"White, Caucasian, or European American",,Some college,Middle class,"One very specific problem. The text box where we discussed our idea to help the Blues out, wraps text downward. In this box here, the text goes towards the right, so we don't have to scroll down such a small text box. Earlier in that ""1 specific idea"" section, it was the same size as this, but since the text wrapped DOWNWARD, it made it pretty tedious to scroll through and read our response. I'd suggest making that box behave like this one - going towards the right - or make that text box bigger, like the one below this one.",Looking into economic equality and how one might help improve it.,biological
8/29/2021 19:17,8/29/2021 19:22,IP Address,96.11.217.118,100,290,TRUE,8/29/2021 19:22,R_2UhlpnUSHnUZnyD,,,,,38.00520325,-84.42299652,anonymous,EN,I do consent to participate,Reds,Not okay,"Very, very bad",,Somewhat different,cake decorator,definitely cake decorator,,Move to the other town,create more jobs or access to jobs,Easy,Pretty easy,A little hard,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,44,Female,,"White, Caucasian, or European American",,Some college,Middle class,,I think this was teaching about different opportunities for people through story telling,structural
8/29/2021 19:27,8/29/2021 19:30,IP Address,206.255.202.115,100,203,TRUE,8/29/2021 19:30,R_3D17SSKsDIkR8Eb,,,,,35.24360657,-91.73130035,anonymous,EN,I do consent to participate,Reds,Not okay,"Very, very bad",,Equally similar and different,cake decorator,probably cake decorator,,I would hold classes to teach the Blues how to decorate cakes.,provide job training/tools to group,Hard,,,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,48,Female,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Middle class,No problems or confusion,Racial empathy or racial discrimination,biological
8/29/2021 20:03,8/29/2021 20:06,IP Address,74.133.135.37,100,209,TRUE,8/29/2021 20:06,R_3dE6ZZzRLGyg5Lx,,,,,38.93449402,-84.54810333,anonymous,EN,I do consent to participate,Reds,Not okay,Pretty bad,,Very similar,cleaner,,probably cleaner,send them to school to learn how to decorate cakes,provide job training/tools to group,Easy,Pretty easy,A little hard,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,60,Male,,"White, Caucasian, or European American",,"Doctoral (Ph.D., J.D., M.D.)",Middle class,progress bar pls,our perception of stereotypes,structural
8/29/2021 18:50,8/29/2021 20:18,IP Address,24.95.181.46,100,5249,TRUE,8/29/2021 20:18,R_1lAlYtBy8AJUkA2,,,,,38.47360229,-82.64129639,anonymous,EN,I do consent to participate,Reds,Okay,,A little good,Somewhat different,cake decorator,probably cake decorator,,I would ask the Blues if any of them wanted to learn to decorate instead of clean and then I would ask a few of the Reds to help train them.,ambiguous,Easy,A little easy,A little hard,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,49,Female,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Working class,I thought the stories were very clear and I enjoyed the illustrations too.,I think the purpose may be related to stereotypes.,cultural
8/29/2021 20:54,8/29/2021 21:41,IP Address,68.116.204.179,100,2827,TRUE,8/29/2021 21:41,R_3qyyPC4NSUXAabn,,,,,42.29170227,-71.78579712,anonymous,EN,I do consent to participate,Reds,Not okay,"Very, very bad",,Somewhat different,cake decorator,definitely cake decorator,,"Perhaps split the time blues and reds to each job to half, so half the time blues decorate cakes, and half the time reds clean the bakery.",create more jobs or access to jobs,Easy,Pretty easy,A little hard,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,38,Male,,"White, Caucasian, or European American",,Some college,Middle class,"No, thank you.",Understanding class disparity. ,biological
8/29/2021 22:02,8/29/2021 22:05,IP Address,45.46.160.244,100,171,TRUE,8/29/2021 22:05,R_1IBjcG1LnKqwVix,,,,,42.91349792,-78.88899994,anonymous,EN,I do consent to participate,Reds,Not okay,Pretty bad,,Very similar,cleaner,,probably cleaner,Allow them to work half a week clean then decorating,create more jobs or access to jobs,Easy,Very easy,A little hard,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,28,Male,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Working class,,,cultural
8/29/2021 22:11,8/29/2021 22:14,IP Address,76.125.139.110,100,137,TRUE,8/29/2021 22:14,R_3ew6qW1LtlmroV6,,,,,40.52450562,-79.08429718,anonymous,EN,I do consent to participate,Reds,Not okay,Pretty bad,,Somewhat similar,cleaner,,maybe cleaner,Educate them on the opportunities available to them.,change group beliefs/values,Easy,Pretty easy,A little hard,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,31,Male,,"White, Caucasian, or European American",,"Master's (M.A., M.S.)",Working class,,,cultural
8/29/2021 22:10,8/29/2021 22:14,IP Address,162.193.23.43,100,223,TRUE,8/29/2021 22:14,R_2zOPycmOo4UD3ym,,,,,29.70089722,-95.58850098,anonymous,EN,I do consent to participate,Reds,Not okay,Pretty bad,,Equally similar and different,cleaner,,probably cleaner,I would let them go to a cake decorating school for free. They can learn how to do it and work as a decorator.,create more jobs or access to jobs,Hard,,,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,30,Male,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Working class,,,structural
8/29/2021 22:11,8/29/2021 22:15,IP Address,173.62.251.151,100,210,TRUE,8/29/2021 22:15,R_1kXEpR4xtqmTK4B,,,,,39.93609619,-75.26249695,anonymous,EN,I do consent to participate,Reds,Not okay,"Very, very bad",,Very different,cleaner,,probably cleaner,I would have schooling or a program that helps Blues learn to decorate cakes.,provide job training/tools to group,Easy,Pretty easy,A little hard,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,29,Male,,South or Southeast Asian,,"Bachelor's (B.A., B.S.)",Middle class,,,structural
8/29/2021 22:15,8/29/2021 22:16,IP Address,24.102.88.110,100,67,TRUE,8/29/2021 22:16,R_3JgV57sakokjtEg,,,,,40.77870178,-73.91320038,anonymous,EN,I do NOT consent to participate,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/29/2021 22:12,8/29/2021 22:16,IP Address,66.177.31.244,100,246,TRUE,8/29/2021 22:16,R_dpeqeW1mUorPys9,,,,,30.28509521,-81.82170105,anonymous,EN,I do consent to participate,Reds,Not okay,Pretty bad,,Somewhat different,cake decorator,probably cake decorator,,Promote hardworking blues with an interest in cake decorating to be cake decorators.,other,Hard,,,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,33,Female,,"White, Caucasian, or European American",,Some college,Middle class,,Whether learning that someone is raised for a certain job makes people feel that they should stay in that job or be treated more equally.,cultural
8/29/2021 22:13,8/29/2021 22:17,IP Address,67.160.231.240,100,256,TRUE,8/29/2021 22:17,R_2E6vazPYelsZ5FP,,,,,37.8993988,-122.1143951,anonymous,EN,I do consent to participate,Reds,Not okay,"Very, very bad",,Very different,cake decorator,maybe cake decorator,,I would create a school in the town next to it that allows blues to learn to decorate cakes.,provide job training/tools to group,Hard,,,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,31,Male,,East Asian,,"Bachelor's (B.A., B.S.)",Working class,,,structural
8/29/2021 22:13,8/29/2021 22:18,IP Address,23.242.160.135,100,253,TRUE,8/29/2021 22:18,R_3EFlTNaH0TTEwRy,,,,,34.21060181,-118.8715973,anonymous,EN,I do consent to participate,Reds,Okay,,A little good,Somewhat different,cleaner,,probably cleaner,Give them training if they want,provide job training/tools to group,Easy,Pretty easy,A little hard,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,30,Male,,East Asian,,"Bachelor's (B.A., B.S.)",Working class,,,biological
8/29/2021 22:11,8/29/2021 22:19,IP Address,162.235.157.11,100,462,TRUE,8/29/2021 22:19,R_3GwRx7u6t95XNck,,,,,42.70829773,-87.79869843,anonymous,EN,I do consent to participate,Reds,Okay,,A little good,Somewhat different,cleaner,,probably cleaner,Give Reds stronger arms so they can clean as well as Blues. ,change group biology,Easy,A little easy,A little hard,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,66,Male,,"White, Caucasian, or European American",,Some college,Working class,no,perception,biological
8/29/2021 22:03,8/29/2021 22:19,IP Address,23.119.175.212,100,959,TRUE,8/29/2021 22:19,R_29hMcF36uIcNcz2,,,,,29.69180298,-95.65260315,anonymous,EN,I do consent to participate,Reds,Not okay,Pretty bad,,Somewhat different,cake decorator,probably cake decorator,,I would create do a class on the basics of decorating cakes. I would teach them the about the tools that are used and some examples of common decorations and finally I would let everyone in the class decorate a cake for the first time.,provide job training/tools to group,Hard,,,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,34,Male,,Hispanic or Latino/a,,High school/GED,Working class,No,What people think about a group that is not treated fairly.,biological
8/29/2021 22:15,8/29/2021 22:19,IP Address,72.209.18.237,100,245,TRUE,8/29/2021 22:19,R_26kFqgHv4qKE2YX,,,,,41.77600098,-72.52829742,anonymous,EN,I do consent to participate,Reds,Okay,,"Very, very good",Somewhat different,cake decorator,probably cake decorator,,Tell the city officials that the blues sould be allowed to decorate cakes,create more jobs or access to jobs,Hard,,,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,45,Female,,Black or African American,,Some college,Middle class,,,structural
8/29/2021 22:15,8/29/2021 22:20,IP Address,98.26.231.65,100,255,TRUE,8/29/2021 22:20,R_w7NDJL0Hd4RNf8Z,,,,,35.86839294,-80.31500244,anonymous,EN,I do consent to participate,Reds,Okay,,A little good,Somewhat different,cleaner,,probably cleaner,I would make the cakes larger so they require more strength to make them.,"change job wages, value, hours, work",Easy,Pretty easy,A little hard,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,30,Male,,"White, Caucasian, or European American",,High school/GED,Working class,everything was fine,to see how people would come up with ideas to help blues get a better job.,biological
8/29/2021 22:15,8/29/2021 22:20,IP Address,47.201.197.123,100,308,TRUE,8/29/2021 22:20,R_2VqGQSFSKudtQp4,,,,,28.03030396,-82.78160095,anonymous,EN,I do consent to participate,Reds,Not okay,"Very, very bad",,Very similar,cake decorator,probably cake decorator,,half the reds do sweeping and blues do cake decorating,create more jobs or access to jobs,Hard,,,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,29,Male,,"White, Caucasian, or European American,Hispanic or Latino/a",,"Master's (M.A., M.S.)",Middle class,,,structural
8/29/2021 22:14,8/29/2021 22:20,IP Address,67.183.47.86,100,344,TRUE,8/29/2021 22:20,R_3HvRrUjbz7ZmkGX,,,,,47.53640747,-122.2779999,anonymous,EN,I do consent to participate,Reds,Okay,,A little good,Equally similar and different,cleaner,,maybe cleaner,I would try to find out what skills the blues could acquire that would help them be able to decorate cakes instead and then make it allowable for blues to decorate cakes as long as they had the same/appropriate skills as were required.,provide job training/tools to group,Hard,,,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,38,Female,,"White, Caucasian, or European American",,"Master's (M.A., M.S.)",Middle class,"no problems, no suggestions",i am not sure,biological
8/29/2021 22:17,8/29/2021 22:20,IP Address,71.236.91.4,100,192,TRUE,8/29/2021 22:20,R_3GEctZW3KftsEsq,,,,,40.15879822,-79.81220245,anonymous,EN,I do consent to participate,Reds,Not okay,"Very, very bad",,Somewhat similar,cake decorator,probably cake decorator,,change the rules/laws,create more jobs or access to jobs,Hard,,,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,23,Female,,"White, Caucasian, or European American",,High school/GED,Middle class,,,biological
8/29/2021 22:12,8/29/2021 22:20,IP Address,71.228.100.247,100,526,TRUE,8/29/2021 22:20,R_pE5rwp5tMNEnoop,,,,,35.50650024,-108.7414017,anonymous,EN,I do consent to participate,Reds,Okay,,Pretty good,Somewhat different,cleaner,,definitely cleaner,I put new colors and new attractive design,other,Easy,Pretty easy,A little hard,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,28,Male,,Black or African American,,"Bachelor's (B.A., B.S.)",Working class,No,,cultural
8/29/2021 22:20,8/29/2021 22:20,IP Address,107.131.145.149,100,9,TRUE,8/29/2021 22:20,R_3st7j5juotW8Uju,,,,,41.46150208,-88.2786026,anonymous,EN,I do NOT consent to participate,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/29/2021 22:14,8/29/2021 22:21,IP Address,184.177.84.245,100,370,TRUE,8/29/2021 22:21,R_XFEeFt4MMUaNz3j,,,,,37.39329529,-94.71620178,anonymous,EN,I do consent to participate,Reds,Okay,,Pretty good,Equally similar and different,cleaner,,probably cleaner,I would give them a class on how to decorate cakes,provide job training/tools to group,Hard,,,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,60,Female,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Poor,No,An evaluation of attitudes toward class distinctions.,cultural
8/29/2021 22:15,8/29/2021 22:21,IP Address,99.35.42.200,100,350,TRUE,8/29/2021 22:21,R_WvAnq81faq5nonD,,,,,33.8513031,-84.28700256,anonymous,EN,I do consent to participate,Reds,Not okay,"Very, very bad",,Equally similar and different,cleaner,,definitely cleaner,Allow them to go to schools that teach how to decorate cakes.,create more jobs or access to jobs,Easy,Very easy,A little hard,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,41,Male,,Black or African American,,"Bachelor's (B.A., B.S.)",Middle class,"The part where I had to select how hard or easy it would be to enact the action. I thought it would be easy, yet that 2nd part required me to describe how hard it would be. I thought that should be an ""either/or"" selection and THEN the degree of difficulty to enact said action. ",Discrimination/Affirmative Action and/or access to advancement for different groups.,structural
8/29/2021 22:15,8/29/2021 22:21,IP Address,63.230.46.66,100,371,TRUE,8/29/2021 22:21,R_21H9y2Sjzs18Dnm,,,,,41.29400635,-96.05410004,anonymous,EN,I do consent to participate,Reds,Okay,,A little good,Very similar,cleaner,,probably cleaner,Allow the Blues to try decorating some of the cakes.,create more jobs or access to jobs,Easy,Pretty easy,A little hard,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,28,Male,,"White, Caucasian, or European American",,High school/GED,Working class,,,cultural
8/29/2021 22:19,8/29/2021 22:23,IP Address,73.50.3.236,100,247,TRUE,8/29/2021 22:23,R_2tEEuFaXpoKMMFL,,,,,41.7796936,-87.87200165,anonymous,EN,I do consent to participate,Reds,Not okay,Pretty bad,,Somewhat different,cleaner,,probably cleaner,Allow blues to enroll in classes that teach them how to decorate cakes should they desire to go. ,create more jobs or access to jobs,Easy,Very easy,A little hard,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,26,Male,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Working class,Nothing,Perceptions of reds and blues and how it relates to class structure ,structural
8/29/2021 22:18,8/29/2021 22:26,IP Address,47.155.143.129,100,483,TRUE,8/29/2021 22:26,R_21hRgdwBGowuXaW,,,,,34.53019714,-117.213501,anonymous,EN,I do consent to participate,Reds,Okay,,A little good,Very different,cleaner,,maybe cleaner,make Blues taste the cakes so they will be motivated to decorate cakes.,change group beliefs/values,Easy,Very easy,A little hard,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Prefer not to specify,,Prefer not to specify,,Prefer not to specify,,Prefer not to specify,Prefer not to specify,,,cultural
8/29/2021 22:23,8/29/2021 22:27,IP Address,67.164.96.205,100,216,TRUE,8/29/2021 22:27,R_27jl0UGgyXKSBHz,,,,,37.37730408,-122.0194016,anonymous,EN,I do consent to participate,Reds,Okay,,A little good,Equally similar and different,cleaner,,maybe cleaner,I would change the law to allow blues to attend cake decorating school so they could learn the trade.  This would also make it clear that it's socially acceptable for blues to decorate cakes.,create more jobs or access to jobs,Easy,A little easy,A little hard,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,34,Male,,East Asian,,"Bachelor's (B.A., B.S.)",Middle class,,,structural
8/29/2021 22:23,8/29/2021 22:27,IP Address,67.255.243.99,100,218,TRUE,8/29/2021 22:27,R_2awxVcImHPI4O9w,,,,,42.96299744,-72.29290009,anonymous,EN,I do consent to participate,Reds,Okay,,Pretty good,Somewhat similar,cleaner,,probably cleaner,I would take their broom from them and beat them with it,other,Hard,,,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,35,Female,,"White, Caucasian, or European American",,High school/GED,Working class,none,perceptions of two different groups,cultural
8/29/2021 22:22,8/29/2021 22:27,IP Address,69.127.176.174,100,330,TRUE,8/29/2021 22:27,R_1DqBdPIg78Xmbcp,,,,,40.82200623,-73.86000061,anonymous,EN,I do consent to participate,Reds,Not okay,A little bad,,Equally similar and different,cake decorator,maybe cake decorator,,Allow equal opportunity to blues to get the job they desire and can do. ,create more jobs or access to jobs,Hard,,,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,33,Male,,Hispanic or Latino/a,,"Bachelor's (B.A., B.S.)",Working class,,,biological
8/29/2021 22:21,8/29/2021 22:29,IP Address,71.214.22.70,100,464,TRUE,8/29/2021 22:29,R_3kzvEdaxYeqvwr7,,,,,29.01069641,-82.03549957,anonymous,EN,I do consent to participate,Reds,Okay,,"Very, very good",Somewhat different,cleaner,,probably cleaner,I would directly offer blues a position decorating cakes with the reds. ,create more jobs or access to jobs,Easy,Very easy,A little hard,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,43,Male,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Poor,no problems. ,I'm guessing it was about race and careers. It assumes everyone is artistic enough to be a decorator. I've done both jobs and the cake decorator isn't necessarily better.,cultural
8/29/2021 22:25,8/29/2021 22:29,IP Address,24.168.202.105,100,250,TRUE,8/29/2021 22:29,R_2uJwd00A83vGM71,,,,,34.07369995,-81.18630219,anonymous,EN,I do consent to participate,Reds,Not okay,Pretty bad,,Very different,cake decorator,definitely cake decorator,,I would give each worker the choice of which job they would like to have. ,create more jobs or access to jobs,Easy,Pretty easy,A little hard,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,31,Male,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Middle class,,,biological
